segment,timeline,survival_prob,ci_lower,ci_upper
60_B,36.0,0.8373162725543071,0.8339782266865653,0.8405937945961184
60_B,37.0,0.8352463986284463,0.831891624030452,0.8385409039857628
60_B,38.0,0.8334274185117815,0.8300580982381864,0.8367366933323374
60_B,39.0,0.8316920696648468,0.8283090060921827,0.8350153013365995
60_B,40.0,0.8301448911748103,0.8267496832218888,0.8334804576669633
60_B,41.0,0.8288067908591015,0.8254011613832459,0.832152943612938
60_B,42.0,0.8275732296305581,0.824158059322802,0.830929075112649
60_B,43.0,0.8264442074891801,0.8230203603433669,0.8298088688565602
60_B,44.0,0.8257124338790269,0.8222829909629904,0.8290827811518332
60_B,45.0,0.8248343055468437,0.8213981767057017,0.828211446919477
60_B,46.0,0.8238516381274955,0.8204080647081116,0.8272363451472043
60_B,47.0,0.8232453114219396,0.8197971640791563,0.8266346670756274
60_B,48.0,0.8226389847163849,0.8191862782893901,0.8260329741713859
60_B,49.0,0.8223671830897569,0.8189124377365309,0.8257632449669817
60_B,50.0,0.8219908423759642,0.8185332787872248,0.8253897688699366
60_B,51.0,0.8218026720190668,0.8183437014395207,0.8252030286954075
60_B,52.0,0.8215308703924391,0.8180698699915646,0.8249332903901432
60_B,53.0,0.821279976583243,0.8178171051180985,0.8246842985694935
60_B,54.0,0.8209663593217496,0.8175011525526948,0.8243730552688325
60_B,55.0,0.8207363733299868,0.8172694564906785,0.8241448076968472
60_B,56.0,0.8204854795207916,0.8170166995451701,0.8238958079517942
60_B,57.0,0.8202973091638956,0.816827133473619,0.8237090565061619
60_B,58.0,0.820171862259298,0.8167007568714282,0.8235845547639141
60_B,59.0,0.8199836919024015,0.8165111931351355,0.8233978009840759
60_B,60.0,0.8198791528152367,0.8164058805528654,0.8232940482798796
60_C,0.0,1.0,1.0,1.0
60_C,1.0,0.9982293008105456,0.9979567028459867,0.9984655592186648
60_C,2.0,0.9950098477388089,0.9945662954450079,0.9954172764095027
60_C,3.0,0.9898208469055382,0.989197194831228,0.9904086699830118
60_C,4.0,0.9828516779031893,0.9820507065759264,0.9836172054673086
60_C,5.0,0.9753995909400811,0.9744476127144004,0.9763165349048838
60_C,6.0,0.9663567154003485,0.9652517994738607,0.9674270932949932
60_C,7.0,0.9572759639421268,0.956039089473927,0.9584787986979013
60_C,8.0,0.9471536247254008,0.9457874248227341,0.9484863407409864
60_C,9.0,0.9366904022422546,0.9352051361842878,0.9381427594989598
60_C,10.0,0.9260851450647685,0.9244909401253202,0.9276470247429713
60_C,11.0,0.9152431633967124,0.9135474189975638,0.916907179826545
60_C,12.0,0.9043348988712981,0.9025453071820645,0.906093364312605
60_C,13.0,0.8935402621013557,0.8916647692108823,0.8953852249933386
60_C,14.0,0.8829918188016059,0.8810381901879233,0.8849155008548338
60_C,15.0,0.8729547004014859,0.8709314325571957,0.8749485775823095
60_C,16.0,0.8632963411862739,0.8612099558725735,0.8653538714530608
60_C,17.0,0.8543955003408832,0.8522540305567284,0.8565086093026488
60_C,18.0,0.8455230664343616,0.8433294001620057,0.8476888651314949
60_C,19.0,0.8372093023255824,0.8349690133620963,0.8394221864557188
60_C,20.0,0.8297761533217181,0.8274959387878453,0.8320293772095714
60_C,21.0,0.8223998181955913,0.8200815356347607,0.8246915215679591
60_C,22.0,0.815459056132112,0.8131062974587006,0.8177856231802071
60_C,23.0,0.8085656389667452,0.8061798715381435,0.8109256000807642
60_C,24.0,0.8018521324142113,0.7994353494431461,0.8042434847050269
60_C,25.0,0.7955079160669646,0.793062810786157,0.7979279459881949
60_C,26.0,0.7900159078857673,0.7875470330865778,0.7924600151934821
60_C,27.0,0.7840693886826754,0.7815755357914579,0.7865388077225607
60_C,28.0,0.7789750776456327,0.776460436052507,0.7814655714580674
60_C,29.0,0.7738997045678357,0.7713648963858083,0.776410650203735
