fpr,tpr,split
0.8096579913719049,0.9480872218139377,train
0.8125230098269661,0.9491408635276016,train
0.8152369894178396,0.9501601099731373,train
0.8180500882633363,0.9513043258928725,train
0.8209056667893857,0.952435930214294,train
0.8238367647475291,0.9535296997407743,train
0.8267914625282018,0.9546085646510657,train
0.8294488025450049,0.9556071739357244,train
0.832384620467654,0.9566241273633849,train
0.8353204383903033,0.9576204436301683,train
0.8383742554255992,0.9586030017897005,train
0.8411920742356017,0.9596256877620489,train
0.8440287729036278,0.9606541062790855,train
0.8470259503648533,0.9615701669202362,train
0.850013687897067,0.9625206228295152,train
0.8529542257842221,0.9634515880868549,train
0.8559608431744593,0.9643412790224406,train
0.8589391407776613,0.965331862744536,train
0.861860798806793,0.966214674626496,train
0.864839096409995,0.9672201629647804,train
0.8679873127354082,0.968166032838309,train
0.8709797702321278,0.9691440049620906,train
0.8740524671254473,0.9701162445411843,train
0.8770449246221669,0.9711320514599071,train
0.8800562619769099,0.972038940029557,train
0.8833271973794757,0.972942389072394,train
0.8862913350891601,0.9739111891246748,train
0.889524510775679,0.9748604985250162,train
0.8928190460007741,0.9757742661482918,train
0.8959011828231052,0.9766696896285655,train
0.8988936403198248,0.9775467689658375,train
0.9021268160063436,0.9784135297226709,train
0.9053175120123097,0.9793364694174473,train
0.9085412477698168,0.9801986441385304,train
0.9118546628529354,0.9810917746009289,train
0.9152435973681478,0.9820055422242044,train
0.9184578931966432,0.982863130909537,train
0.9219223471439495,0.9837126940323063,train
0.9252593620495974,0.9845656966818885,train
0.928714376067892,0.9853888900990928,train
0.9320513909735398,0.9862258416235484,train
0.9353223263761057,0.9870547675854408,train
0.9386027017076831,0.9879536305925273,train
0.9421379551225775,0.9887871425901701,train
0.94566376860846,0.9895598896141194,train
0.9491943020588485,0.9903819365223862,train
0.9527342754382487,0.9912200345557793,train
0.9564394475753543,0.991995074597604,train
0.9601823794285067,0.9927701146394287,train
0.9637837123464832,0.993599040601321,train
0.9674605646965535,0.9943626155537696,train
0.9712554161592705,0.9951135789079044,train
0.9751635467701283,0.9958244144492229,train
0.9790716773809861,0.9965673522407944,train
0.9830883671754789,0.9972506715676102,train
0.9871003370054657,0.9980050744485579,train
0.9911831063030406,0.9986849542485609,train
