segment,month,count,w_t
60_B,39,83,0.009634358676726639
60_B,40,74,0.008589669181659895
60_B,41,64,0.00742890307603018
60_B,42,59,0.006848520023215322
60_B,43,54,0.0062681369704004645
60_B,44,35,0.004062681369704005
60_B,45,42,0.004875217643644805
60_B,46,47,0.005455600696459663
60_B,47,29,0.0033662217063261755
60_B,48,29,0.0033662217063261755
60_B,49,13,0.0015089959373186302
60_B,50,18,0.002089378990133488
60_B,51,9,0.001044689495066744
60_B,52,13,0.0015089959373186302
60_B,53,12,0.0013929193267556588
60_B,54,15,0.0017411491584445734
60_B,55,11,0.0012768427161926872
60_B,56,12,0.0013929193267556588
60_B,57,9,0.001044689495066744
60_B,58,6,0.0006964596633778294
60_B,59,9,0.001044689495066744
60_B,60,5,0.0005803830528148578
60_C,1,187,0.006432084752175558
60_C,2,340,0.011694699549410105
60_C,3,548,0.018849103979637464
60_C,4,736,0.025315584906958347
60_C,5,787,0.027069789839369862
60_C,6,955,0.032848347263784265
60_C,7,959,0.03298593196436556
60_C,8,1069,0.03676951123035119
60_C,9,1105,0.038007773535582844
60_C,10,1120,0.0385237161627627
60_C,11,1145,0.0393836205413958
60_C,12,1152,0.039624393767413064
60_C,13,1140,0.03921163966566918
60_C,14,1114,0.03831733911189076
60_C,15,1060,0.03645994565404327
60_C,16,1020,0.03508409864823032
60_C,17,940,0.03233240463660441
60_C,18,937,0.03222921611116844
60_C,19,878,0.03019984177759433
60_C,20,785,0.027000997489079213
60_C,21,779,0.02679462043820727
60_C,22,733,0.025212396381522374
60_C,23,728,0.025040415505795756
60_C,24,709,0.024386888178034603
60_C,25,670,0.023045437347366974
60_C,26,580,0.019949781584287826
60_C,27,628,0.02160079799126337
60_C,28,538,0.018505142228184227
60_C,29,536,0.01843634987789358
60_C,30,473,0.016269390843738175
60_C,31,440,0.01513431706394249
60_C,32,434,0.014927940013070547
60_C,33,407,0.013999243284146803
60_C,34,340,0.011694699549410105
60_C,35,329,0.011316341622811543
60_C,36,315,0.01083479517077701
60_C,37,279,0.009596532865545352
60_C,38,262,0.009011797888074847
60_C,39,217,0.0074639700065352735
60_C,40,202,0.006948027379355416
60_C,41,172,0.0059161421249957005
60_C,42,150,0.005159426271798576
60_C,43,139,0.004781068345200014
60_C,44,141,0.004849860695490662
60_C,45,125,0.00429952189316548
60_C,46,100,0.003439617514532384
60_C,47,109,0.0037491830908402985
60_C,48,84,0.0028892787122072024
60_C,49,85,0.0029236748873525263
60_C,50,67,0.0023045437347366973
60_C,51,53,0.0018229972827021636
60_C,52,58,0.001994978158428783
60_C,53,44,0.001513431706394249
60_C,54,32,0.001100677604650363
60_C,55,27,0.0009286967289237436
60_C,56,31,0.001066281429505039
60_C,57,29,0.0009974890792143914
60_C,58,22,0.0007567158531971245
60_C,59,11,0.00037835792659856227
60_C,60,18,0.0006191311526158291
60_D,1,207,0.007613653082242166
60_D,2,379,0.01393997351772841
60_D,3,626,0.02302486391054877
60_D,4,759,0.027916727968221273
60_D,5,938,0.0345005149330587
60_D,6,965,0.03549360011769898
60_D,7,1045,0.03843607473885538
60_D,8,1016,0.03736942768868619
60_D,9,1080,0.0397234073856113
60_D,10,1080,0.0397234073856113
60_D,11,1137,0.04181992055318523
60_D,12,1105,0.04064293070472267
60_D,13,1010,0.03714874209209946
60_D,14,986,0.03626599970575254
60_D,15,983,0.03615565690745917
60_D,16,856,0.0314844784463734
60_D,17,816,0.030013241135795204
60_D,18,779,0.028652346623510374
